iter	Passed	Remaining
913	7570	712
914	7577	703
915	7584	695
916	7592	687
917	7599	678
918	7607	670
919	7614	662
920	7622	653
921	7630	645
922	7637	637
923	7645	628
924	7653	620
925	7659	612
926	7667	603
927	7674	595
928	7682	587
929	7689	578
930	7697	570
931	7704	562
932	7711	553
933	7719	545
934	7726	537
935	7734	528
936	7742	520
937	7750	512
938	7757	503
939	7764	495
940	7772	487
941	7779	478
942	7786	470
943	7793	462
944	7801	454
945	7810	445
946	7818	437
947	7826	429
948	7834	421
949	7842	412
950	7849	404
951	7857	396
952	7864	387
953	7873	379
954	7882	371
955	7890	363
956	7898	354
957	7906	346
958	7915	338
959	7923	330
960	7930	321
961	7938	313
962	7945	305
963	7952	296
964	7960	288
965	7967	280
966	7975	272
967	7983	263
968	7990	255
969	7997	247
970	8005	239
971	8012	230
972	8020	222
973	8027	214
974	8035	206
975	8042	197
976	8050	189
977	8057	181
978	8065	172
979	8072	164
980	8079	156
981	8087	148
982	8094	139
983	8101	131
984	8108	123
985	8116	115
986	8123	106
987	8130	98
988	8137	90
989	8144	82
990	8151	74
991	8158	65
992	8166	57
993	8174	49
994	8181	41
995	8189	32
996	8196	24
997	8203	16
998	8210	8
999	8216	0
